,name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,company
2110,Maruti Ritz VDi,2016,475000,110000,Diesel,Individual,Manual,First Owner,Maruti
2111,Hyundai Grand i10,2018,700000,29000,Diesel,Individual,Manual,First Owner,Hyundai
2112,Maruti Wagon R,2011,376000,60000,Petrol,Individual,Manual,First Owner,Maruti
2113,Hyundai Santro GS,2002,100000,120000,Petrol,Individual,Manual,Fourth & Above Owner,Hyundai
2114,Maruti 800 Std,2004,75000,46000,Petrol,Individual,Manual,Fourth & Above Owner,Maruti
2115,Mahindra Scorpio VLS,2012,440000,120000,Diesel,Individual,Automatic,Third Owner,Mahindra
2116,Maruti Wagon R,2016,390000,80000,Petrol,Individual,Manual,First Owner,Maruti
2117,Toyota Innova 2.5,2012,725000,159000,Diesel,Individual,Manual,Second Owner,Toyota
2118,Mahindra Bolero 2011-2019,2012,325000,110000,Diesel,Individual,Manual,Second Owner,Mahindra
2119,Maruti Alto LXi,2010,170000,75000,Petrol,Individual,Manual,Second Owner,Maruti
2120,Maruti Swift Dzire,2010,215000,120000,Diesel,Individual,Manual,Third Owner,Maruti
2121,Honda City 1.5,2010,350000,110000,Petrol,Individual,Manual,Third Owner,Honda
2122,Chevrolet Spark 1.0,2009,80000,80000,Petrol,Individual,Manual,Fourth & Above Owner,Chevrolet
2123,Hyundai EON Magna,2012,195000,80000,Petrol,Individual,Manual,Second Owner,Hyundai
2124,Maruti Swift VDI,2011,280000,85000,Diesel,Individual,Manual,First Owner,Maruti
2125,Nissan Sunny Diesel,2014,335000,71000,Diesel,Dealer,Manual,First Owner,Nissan
2126,Mahindra XUV500 W6,2011,475000,108000,Diesel,Dealer,Manual,First Owner,Mahindra
2127,Renault Duster 85PS,2015,484999,75000,Diesel,Dealer,Manual,First Owner,Renault
2128,Maruti Ciaz Delta,2018,650000,22000,Petrol,Individual,Manual,Second Owner,Maruti
2129,Audi Q5 3.0,2014,1850000,76131,Diesel,Individual,Automatic,First Owner,Audi
2130,Hyundai i20 1.2,2018,700000,30000,Petrol,Individual,Manual,Second Owner,Hyundai
2131,Audi Q7 3.0,2014,3000000,65000,Diesel,Individual,Automatic,First Owner,Audi
2132,Mahindra Scorpio S3,2018,900000,60000,Diesel,Individual,Manual,First Owner,Mahindra
2133,Volkswagen Polo Diesel,2013,350000,80000,Diesel,Individual,Manual,First Owner,Volkswagen
2134,Honda Accord V6,2005,285000,80000,Petrol,Individual,Automatic,Second Owner,Honda
2135,Audi Q7 3.0,2012,1850000,70000,Diesel,Individual,Automatic,First Owner,Audi
2136,Maruti Vitara Brezza,2017,750000,51777,Diesel,Dealer,Manual,First Owner,Maruti
2137,Land Rover Freelander,2013,1650000,64788,Diesel,Dealer,Automatic,First Owner,Land
2138,Honda Amaze V,2018,600000,20000,Petrol,Individual,Manual,First Owner,Honda
2139,Volkswagen Polo 2015-2019,2018,565000,19000,Petrol,Individual,Manual,First Owner,Volkswagen
2140,Daewoo Matiz SS,2000,86000,46951,Petrol,Individual,Manual,First Owner,Daewoo
2141,Datsun GO T,2016,329000,19000,Petrol,Individual,Manual,First Owner,Datsun
2142,Ford EcoSport 1.5,2016,650000,50000,Diesel,Individual,Manual,First Owner,Ford
2143,Hyundai Creta 1.6,2015,822000,60000,Diesel,Individual,Manual,First Owner,Hyundai
2144,Renault Duster 110PS,2013,345000,100000,Diesel,Individual,Manual,Second Owner,Renault
2145,Maruti Zen LXI,2001,30000,10000,Petrol,Individual,Manual,First Owner,Maruti
2146,Maruti Swift VDI,2012,330000,50000,Diesel,Individual,Manual,Second Owner,Maruti
2147,Maruti Wagon R,2014,300000,74537,Petrol,Individual,Manual,Second Owner,Maruti
2148,Maruti SX4 ZXI,2009,200000,90000,Petrol,Individual,Automatic,Second Owner,Maruti
2149,Tata Indica Vista,2012,200000,80000,Diesel,Individual,Manual,Second Owner,Tata
2150,Chevrolet Spark 1.0,2010,90000,70000,Petrol,Individual,Manual,Second Owner,Chevrolet
2151,Maruti Wagon R,2010,200000,80000,Petrol,Individual,Manual,Second Owner,Maruti
2152,Hyundai Xcent 1.1,2016,550000,35000,Diesel,Individual,Manual,First Owner,Hyundai
2153,Chevrolet Beat LT,2015,250000,23500,Petrol,Individual,Manual,First Owner,Chevrolet
2154,Honda City i-DTEC,2017,975000,82000,Diesel,Individual,Manual,First Owner,Honda
2155,Toyota Innova 2.5,2014,900000,100000,Diesel,Individual,Manual,Second Owner,Toyota
2156,Hyundai i20 1.2,2018,610000,15000,Petrol,Individual,Manual,First Owner,Hyundai
2157,Maruti Baleno Zeta,2017,620000,30000,Diesel,Individual,Manual,First Owner,Maruti
2158,Hyundai Grand i10,2016,400000,30000,Petrol,Individual,Manual,First Owner,Hyundai
2159,Maruti Celerio X,2019,500000,11000,Petrol,Individual,Manual,First Owner,Maruti
2160,Datsun GO Plus,2017,200000,140000,Petrol,Individual,Manual,First Owner,Datsun
2161,Tata Zest Quadrajet,2016,360000,110000,Diesel,Individual,Manual,First Owner,Tata
2162,Maruti Alto K10,2012,252000,48000,Petrol,Individual,Manual,First Owner,Maruti
2163,Maruti Swift VDI,2012,280000,70000,Diesel,Individual,Manual,Second Owner,Maruti
2164,Maruti Swift VXI,2018,509999,70000,Petrol,Individual,Manual,Second Owner,Maruti
2165,Mahindra Scorpio 1.99,2016,1050000,58000,Diesel,Individual,Manual,First Owner,Mahindra
2166,Maruti Wagon R,2010,200000,40000,LPG,Individual,Manual,Fourth & Above Owner,Maruti
2167,Maruti Zen LXI,2005,60000,90000,Petrol,Individual,Manual,Second Owner,Maruti
2168,Mahindra Xylo E8,2010,320000,40000,Diesel,Individual,Manual,Second Owner,Mahindra
2169,Mahindra Scorpio LX,2013,520000,110000,Diesel,Individual,Manual,First Owner,Mahindra
2170,Tata New Safari,2007,250000,80000,Diesel,Individual,Manual,Second Owner,Tata
2171,Maruti Vitara Brezza,2017,725000,60000,Diesel,Individual,Manual,First Owner,Maruti
2172,Mahindra Bolero 2011-2019,2015,585000,50000,Diesel,Individual,Manual,First Owner,Mahindra
2173,Tata Tiago 1.2,2017,430000,25000,Petrol,Individual,Manual,First Owner,Tata
2174,Maruti Swift VDI,2011,235000,100000,Diesel,Individual,Manual,Second Owner,Maruti
2175,Maruti Swift Dzire,2012,350000,52000,Diesel,Individual,Manual,Third Owner,Maruti
2176,Hyundai i10 Era,2010,131000,80000,Petrol,Individual,Manual,Third Owner,Hyundai
2177,Honda Amaze VX,2016,450000,85000,Diesel,Individual,Manual,First Owner,Honda
2178,Maruti Vitara Brezza,2016,750000,83000,Diesel,Individual,Manual,First Owner,Maruti
2179,Maruti Alto 800,2013,200000,50000,Petrol,Individual,Manual,First Owner,Maruti
2180,Maruti Wagon R,2009,125000,120000,Petrol,Individual,Manual,Fourth & Above Owner,Maruti
2181,Mahindra Bolero 2011-2019,2014,500000,100000,Diesel,Individual,Manual,First Owner,Mahindra
2182,Maruti Swift VDI,2012,380000,70000,Diesel,Individual,Manual,Third Owner,Maruti
2183,Maruti Alto LXi,2008,128000,19000,Petrol,Individual,Manual,First Owner,Maruti
2184,Honda City 1.5,2009,250000,68600,Petrol,Individual,Manual,Third Owner,Honda
2185,Mahindra Bolero Power,2017,690000,60000,Diesel,Individual,Manual,First Owner,Mahindra
2186,Mahindra Bolero 2011-2019,2014,650000,65000,Diesel,Individual,Manual,Second Owner,Mahindra
2187,Honda City E,2012,560000,40000,Petrol,Individual,Manual,Second Owner,Honda
2188,Tata Indica Vista,2012,120000,160000,Diesel,Individual,Manual,Second Owner,Tata
2189,Maruti Celerio VXI,2016,400000,25000,Petrol,Individual,Manual,First Owner,Maruti
2190,Maruti Alto K10,2012,200000,29500,Petrol,Individual,Manual,First Owner,Maruti
2191,Hyundai Verna VTVT,2018,950000,13887,Petrol,Individual,Manual,First Owner,Hyundai
2192,Maruti Alto 800,2016,300000,50000,Petrol,Individual,Manual,Second Owner,Maruti
2193,Renault KWID RXL,2016,315000,30000,Petrol,Individual,Manual,Second Owner,Renault
2194,Maruti Alto 800,2012,220000,100000,Petrol,Individual,Manual,First Owner,Maruti
2195,Chevrolet Aveo 1.4,2011,130000,60000,Petrol,Individual,Manual,Second Owner,Chevrolet
2196,Hyundai i20 Sportz,2016,595000,60000,Diesel,Individual,Manual,Second Owner,Hyundai
2197,Tata Indica Vista,2011,110000,120000,Diesel,Individual,Manual,First Owner,Tata
2198,Ford EcoSport 1.5,2017,680000,13500,Petrol,Individual,Manual,First Owner,Ford
2199,Fiat Grande Punto,2013,280000,52000,Diesel,Individual,Manual,First Owner,Fiat
2200,Maruti Baleno Delta,2017,530000,30000,Petrol,Individual,Manual,Second Owner,Maruti
2201,Hyundai Xcent 1.2,2017,610000,14000,Petrol,Individual,Manual,First Owner,Hyundai
2202,Tata Aria Pure,2014,500000,90000,Diesel,Individual,Manual,Second Owner,Tata
2203,Tata Tigor 1.05,2018,500000,50000,Diesel,Individual,Manual,First Owner,Tata
2204,Mahindra Xylo D2,2010,250000,120000,Diesel,Individual,Manual,Second Owner,Mahindra
2205,Hyundai EON Magna,2018,325000,10000,Petrol,Individual,Manual,First Owner,Hyundai
2206,Maruti Baleno Delta,2018,550000,10000,Petrol,Individual,Manual,First Owner,Maruti
2207,Maruti Ciaz 1.4,2018,720000,25000,Petrol,Individual,Manual,First Owner,Maruti
2208,Hyundai Verna VTVT,2017,950000,20000,Petrol,Individual,Manual,First Owner,Hyundai
2209,Maruti Swift VDI,2013,350000,60000,Diesel,Individual,Manual,First Owner,Maruti
2210,Hyundai Grand i10,2018,500000,40000,Petrol,Individual,Manual,First Owner,Hyundai
2211,Maruti Swift Dzire,2012,380000,60000,Diesel,Individual,Manual,First Owner,Maruti
2212,Hyundai Xcent 1.2,2015,380000,50000,Petrol,Individual,Automatic,First Owner,Hyundai
2213,Hyundai Verna VTVT,2017,900000,20000,Petrol,Individual,Manual,First Owner,Hyundai
2214,Maruti Alto 800,2017,295000,35000,Petrol,Individual,Manual,First Owner,Maruti
2215,Maruti Ciaz VDi,2016,640000,40000,Diesel,Individual,Manual,First Owner,Maruti
2216,Tata Nexon 1.5,2018,790000,60000,Diesel,Individual,Manual,First Owner,Tata
2217,Hyundai Verna 1.6,2015,625000,20000,Petrol,Individual,Manual,First Owner,Hyundai
2218,Ford EcoSport 1.5,2017,604000,30000,Petrol,Individual,Manual,Second Owner,Ford
2219,Maruti Alto K10,2015,315000,29000,Petrol,Individual,Manual,First Owner,Maruti
2220,Mahindra XUV300 W6,2019,950000,17000,Diesel,Individual,Manual,First Owner,Mahindra
2221,Maruti Wagon R,2017,400000,50000,Petrol,Individual,Manual,First Owner,Maruti
2222,Hyundai i20 1.4,2018,700000,42000,Petrol,Individual,Automatic,First Owner,Hyundai
2223,Toyota Innova 2.5,2011,700000,120000,Diesel,Individual,Manual,Second Owner,Toyota
2224,Mahindra Verito 1.5,2012,260000,110000,Diesel,Individual,Manual,First Owner,Mahindra
2225,Tata Indigo CR4,2012,200000,90000,Diesel,Individual,Manual,First Owner,Tata
2226,Maruti Dzire VXI,2020,580000,70000,Petrol,Individual,Manual,First Owner,Maruti
2227,Volkswagen Vento IPL,2011,330000,66000,Diesel,Individual,Manual,Second Owner,Volkswagen
2228,Hyundai Verna Transform,2011,400000,70000,Diesel,Individual,Manual,Third Owner,Hyundai
2229,Hyundai Creta 1.6,2018,1350000,5000,Petrol,Individual,Automatic,First Owner,Hyundai
2230,Mahindra Verito 1.5,2014,250000,50000,Diesel,Individual,Manual,Second Owner,Mahindra
2231,Skoda Rapid 1.6,2019,725000,25000,Petrol,Individual,Manual,First Owner,Skoda
2232,Maruti Swift Dzire,2013,300000,70000,Diesel,Individual,Manual,First Owner,Maruti
2233,Maruti 800 AC,2006,120000,40000,Petrol,Individual,Manual,Second Owner,Maruti
2234,Mahindra XUV500 W10,2016,1175000,110000,Diesel,Individual,Manual,First Owner,Mahindra
2235,Tata New Safari,2009,380000,150000,Diesel,Individual,Manual,First Owner,Tata
2236,Tata Indica Vista,2014,400000,45000,Diesel,Individual,Manual,First Owner,Tata
2237,Tata Indigo LX,2005,140000,90000,Diesel,Individual,Manual,Third Owner,Tata
2238,Tata New Safari,2011,229999,140000,Diesel,Individual,Manual,Second Owner,Tata
2239,Ford Ikon 1.3,2003,110000,83000,Petrol,Individual,Manual,Second Owner,Ford
2240,Volkswagen Jetta 2.0L,2011,550000,106000,Diesel,Individual,Automatic,Second Owner,Volkswagen
2241,Chevrolet Aveo U-VA,2008,150000,60000,Petrol,Individual,Manual,Fourth & Above Owner,Chevrolet
2242,Maruti Omni E,2017,265000,40000,Petrol,Individual,Manual,Second Owner,Maruti
2243,Hyundai i20 1.2,2011,300000,138000,Petrol,Individual,Manual,Third Owner,Hyundai
2244,Maruti Alto 800,2015,280000,80000,Petrol,Individual,Manual,First Owner,Maruti
2245,Hyundai Getz GLS,2005,130000,50000,Petrol,Individual,Manual,Second Owner,Hyundai
2246,Chevrolet Sail 1.2,2015,350000,50000,Petrol,Individual,Manual,First Owner,Chevrolet
2247,Maruti Ritz VXi,2009,200000,120000,Petrol,Individual,Manual,First Owner,Maruti
2248,Maruti Swift VXI,2018,550000,24400,Petrol,Individual,Manual,First Owner,Maruti
2249,Mahindra Bolero 2011-2019,2013,400000,60000,Diesel,Individual,Manual,Second Owner,Mahindra
2250,Maruti Ritz VXi,2010,170000,120000,Petrol,Individual,Manual,Second Owner,Maruti
2251,Hyundai Verna 1.4,2015,600000,60000,Diesel,Individual,Manual,Second Owner,Hyundai
2252,Maruti Alto LXi,2011,130000,100000,Petrol,Individual,Manual,Second Owner,Maruti
2253,Hyundai Santro Xing,2007,120000,60000,CNG,Individual,Manual,Second Owner,Hyundai
2254,Maruti 800 AC,2011,100000,120000,Petrol,Individual,Manual,Second Owner,Maruti
2255,Renault KWID RXT,2016,310000,27500,Petrol,Individual,Manual,First Owner,Renault
2256,Maruti 800 AC,2007,35000,10000,Petrol,Individual,Manual,First Owner,Maruti
2257,Hyundai i20 Magna,2010,200000,120000,Petrol,Individual,Manual,Third Owner,Hyundai
2258,Maruti Swift VDI,2009,270000,70000,Diesel,Individual,Manual,Second Owner,Maruti
2259,Hyundai i20 Sportz,2015,650000,80000,Diesel,Individual,Manual,First Owner,Hyundai
2260,Tata Indigo eCS,2013,210000,120000,Petrol,Individual,Manual,First Owner,Tata
2261,Hyundai Xcent 1.1,2015,509999,90000,Diesel,Individual,Manual,First Owner,Hyundai
2262,Ford Figo Diesel,2013,229999,70000,Diesel,Individual,Manual,First Owner,Ford
2263,Renault Duster 110PS,2014,409999,188000,Diesel,Individual,Manual,Second Owner,Renault
2264,Chevrolet Spark 1.0,2011,130000,67840,Petrol,Individual,Manual,First Owner,Chevrolet
2265,Tata Nano CX,2013,95000,30000,Petrol,Individual,Manual,First Owner,Tata
2266,Maruti Alto 800,2016,225000,35000,Petrol,Individual,Manual,Second Owner,Maruti
2267,Maruti Swift VDI,2010,256999,150000,Diesel,Individual,Manual,Second Owner,Maruti
2268,Maruti Vitara Brezza,2017,775000,100000,Diesel,Individual,Manual,First Owner,Maruti
2269,Maruti Wagon R,2017,420000,30000,Petrol,Individual,Manual,First Owner,Maruti
2270,Hyundai Grand i10,2016,480000,70000,Petrol,Individual,Manual,First Owner,Hyundai
2271,Toyota Qualis GS,2003,200000,149032,Diesel,Individual,Manual,First Owner,Toyota
2272,Mahindra Bolero SLE,2010,260000,380000,Diesel,Individual,Manual,Second Owner,Mahindra
2273,Toyota Etios Liva,2011,210000,84050,Petrol,Individual,Manual,First Owner,Toyota
2274,Volkswagen Polo 2015-2019,2018,600000,15000,Petrol,Individual,Manual,First Owner,Volkswagen
2275,Ford Ikon 1.4,2009,140000,140000,Diesel,Individual,Manual,Second Owner,Ford
2276,Maruti Omni 8,2010,130000,120000,Petrol,Individual,Manual,Third Owner,Maruti
2277,Maruti Swift VDI,2007,195000,112880,Diesel,Dealer,Manual,First Owner,Maruti
2278,Tata Indica Vista,2013,210000,135000,Diesel,Dealer,Manual,Second Owner,Tata
2279,Maruti Wagon R,2006,130000,80000,Petrol,Individual,Manual,Third Owner,Maruti
2280,Chevrolet Beat LT,2012,141000,128000,Petrol,Individual,Manual,Third Owner,Chevrolet
2281,Mahindra Bolero SLE,2011,280000,120000,Diesel,Individual,Manual,First Owner,Mahindra
2282,Maruti SX4 ZXI,2010,350000,30000,Petrol,Individual,Automatic,First Owner,Maruti
2283,Tata Nexon 1.2,2018,575000,70000,Petrol,Individual,Manual,First Owner,Tata
2284,Hyundai i20 Sportz,2015,550000,41000,Petrol,Individual,Manual,First Owner,Hyundai
2285,Toyota Etios V,2011,420000,28100,Petrol,Individual,Manual,First Owner,Toyota
2286,Maruti Alto LX,2006,120000,30000,Petrol,Individual,Manual,Second Owner,Maruti
2287,Maruti Alto K10,2015,320000,30000,Petrol,Individual,Manual,First Owner,Maruti
2288,Hyundai Accent Executive,2011,250000,35000,Petrol,Individual,Manual,First Owner,Hyundai
2289,Maruti SX4 Zxi,2010,300000,22000,Petrol,Individual,Manual,First Owner,Maruti
2290,Maruti Wagon R,2006,250000,70000,Petrol,Individual,Manual,First Owner,Maruti
2291,Maruti Omni E,2005,120000,100000,Petrol,Individual,Manual,Second Owner,Maruti
2292,Mahindra Bolero 2011-2019,2018,750000,70000,Diesel,Individual,Manual,First Owner,Mahindra
2293,Mahindra Scorpio 2.6,2005,151000,200000,Diesel,Individual,Manual,Second Owner,Mahindra
2294,Tata Safari DICOR,2011,300000,120000,Diesel,Individual,Manual,First Owner,Tata
2295,Maruti Ignis 1.2,2019,577000,3000,Petrol,Individual,Manual,First Owner,Maruti
2296,Maruti Alto K10,2012,229999,50000,Petrol,Individual,Manual,First Owner,Maruti
2297,Mahindra Bolero 2011-2019,2013,500000,50000,Diesel,Individual,Manual,First Owner,Mahindra
2298,Honda Jazz VX,2019,840000,1500,Petrol,Individual,Automatic,First Owner,Honda
2299,Volkswagen Vento 1.5,2017,900000,74000,Diesel,Individual,Manual,First Owner,Volkswagen
2300,Honda Jazz 1.2,2017,650000,25000,Petrol,Individual,Manual,First Owner,Honda
2301,Honda Jazz 1.5,2016,650000,61915,Diesel,Individual,Manual,First Owner,Honda
2302,Hyundai EON Era,2016,250000,110000,Petrol,Individual,Manual,First Owner,Hyundai
2303,Volkswagen Polo 1.5,2016,550000,70000,Diesel,Individual,Manual,First Owner,Volkswagen
2304,Maruti Swift Ldi,2007,250000,150000,Diesel,Individual,Manual,Fourth & Above Owner,Maruti
2305,Mahindra Quanto C4,2013,350000,110000,Diesel,Individual,Manual,Second Owner,Mahindra
2306,Chevrolet Beat Diesel,2014,185000,90000,Diesel,Individual,Manual,Second Owner,Chevrolet
2307,Ford Figo Petrol,2010,229999,120000,Petrol,Individual,Manual,Third Owner,Ford
2308,Toyota Innova 2.5,2016,1000000,65000,Diesel,Individual,Manual,First Owner,Toyota
2309,Maruti Wagon R,2019,490000,10000,Petrol,Individual,Manual,First Owner,Maruti
2310,Hyundai i10 Sportz,2009,150000,80000,Petrol,Individual,Manual,Second Owner,Hyundai
2311,Maruti Ertiga VDI,2013,600000,184000,Diesel,Individual,Manual,First Owner,Maruti
2312,Maruti Wagon R,2013,270000,80000,CNG,Individual,Manual,Second Owner,Maruti
2313,Maruti Zen LXi,2005,60000,70000,Petrol,Individual,Manual,Second Owner,Maruti
2314,Maruti SX4 Zxi,2008,150000,89000,Petrol,Individual,Manual,Second Owner,Maruti
2315,Honda Brio Exclusive,2014,335000,33033,Petrol,Dealer,Manual,First Owner,Honda
2316,Maruti Swift VDI,2013,525000,69000,Diesel,Individual,Manual,Second Owner,Maruti
2317,Hyundai Grand i10,2015,465000,63063,Petrol,Dealer,Automatic,First Owner,Hyundai
2318,Tata Indica V2,2012,83000,90000,Diesel,Individual,Manual,Second Owner,Tata
2319,Hyundai EON Era,2017,300000,8000,Petrol,Individual,Manual,First Owner,Hyundai
2320,Hyundai i20 1.2,2012,350000,35000,Petrol,Individual,Manual,First Owner,Hyundai
2321,Hyundai i20 1.2,2011,300000,45000,Petrol,Individual,Manual,First Owner,Hyundai
2322,Fiat Linea 1.3,2011,250000,30000,Diesel,Individual,Manual,First Owner,Fiat
2323,Maruti 800 Std,2006,114999,59000,Petrol,Individual,Manual,Second Owner,Maruti
2324,Maruti Ertiga VXI,2018,700000,6200,Petrol,Individual,Manual,First Owner,Maruti
2325,Maruti Celerio X,2020,250000,120000,Petrol,Individual,Manual,Second Owner,Maruti
2326,Maruti Wagon R,2016,350000,70000,Petrol,Individual,Manual,First Owner,Maruti
2327,Maruti Omni 5,1998,80000,70000,Petrol,Individual,Manual,First Owner,Maruti
2328,Mahindra Scorpio S2,2017,850000,110000,Diesel,Individual,Manual,First Owner,Mahindra
2329,Hyundai Santro Xing,2004,70000,158000,Petrol,Individual,Manual,First Owner,Hyundai
2330,Chevrolet Spark 1.0,2007,90000,93000,Petrol,Individual,Manual,Third Owner,Chevrolet
2331,Chevrolet Tavera Neo,2014,600000,110000,Diesel,Individual,Manual,First Owner,Chevrolet
2332,Maruti Alto LX,2007,135000,57000,Petrol,Individual,Manual,First Owner,Maruti
2333,Hyundai Accent GLE,2005,150000,120000,Petrol,Individual,Manual,First Owner,Hyundai
2334,Tata Indigo CS,2012,259000,35000,Diesel,Individual,Manual,First Owner,Tata
2335,Tata Indigo CS,2012,220000,90000,Diesel,Individual,Manual,First Owner,Tata
2336,Tata Indigo eCS,2012,246000,35000,Diesel,Individual,Manual,Second Owner,Tata
2337,Maruti Swift Dzire,2009,240000,120000,Petrol,Individual,Manual,First Owner,Maruti
2338,Hyundai Creta 1.4,2018,946000,60000,Diesel,Individual,Manual,First Owner,Hyundai
2339,Tata Indigo eCS,2011,215000,70000,Diesel,Individual,Manual,First Owner,Tata
2340,Maruti Zen LX,1999,50000,60000,Petrol,Individual,Manual,Fourth & Above Owner,Maruti
2341,Honda Amaze S,2013,310000,100000,Diesel,Individual,Manual,First Owner,Honda
2342,Hyundai i10 Magna,2008,220000,35000,Petrol,Individual,Manual,First Owner,Hyundai
2343,Maruti Swift Vdi,2008,195000,90000,Diesel,Individual,Manual,Third Owner,Maruti
2344,Hyundai i20 Active,2015,650000,50000,Petrol,Individual,Manual,First Owner,Hyundai
2345,Hyundai i20 1.2,2011,350000,98000,Petrol,Individual,Manual,First Owner,Hyundai
2346,Hyundai i20 Asta,2013,360000,30000,Petrol,Individual,Manual,First Owner,Hyundai
2347,Hyundai Elantra SX,2013,550000,50000,Petrol,Individual,Manual,Second Owner,Hyundai
2348,Hyundai Grand i10,2016,490000,26000,Petrol,Individual,Manual,First Owner,Hyundai
2349,Maruti Alto LXi,2011,195000,46000,Petrol,Individual,Manual,Second Owner,Maruti
2350,Maruti Alto LX,2010,125000,80000,Petrol,Individual,Manual,Fourth & Above Owner,Maruti
2351,Tata Tiago 1.2,2019,459999,10000,Petrol,Individual,Manual,First Owner,Tata
2352,Maruti Alto 800,2015,275000,16700,Petrol,Individual,Manual,First Owner,Maruti
2353,Maruti Swift Dzire,2018,680000,70000,Diesel,Individual,Manual,First Owner,Maruti
2354,Maruti Swift Dzire,2015,600000,7967,Petrol,Individual,Manual,First Owner,Maruti
2355,Maruti Swift ZXI,2018,720000,20000,Petrol,Individual,Manual,First Owner,Maruti
2356,Maruti Swift VDI,2011,295000,50000,Diesel,Individual,Manual,First Owner,Maruti
2357,Renault KWID RXT,2016,356000,9656,Petrol,Individual,Manual,First Owner,Renault
2358,Hyundai i10 Era,2011,225000,50000,Petrol,Individual,Manual,First Owner,Hyundai
2359,Ford Freestyle Titanium,2019,725000,17000,Diesel,Individual,Manual,First Owner,Ford
2360,Chevrolet Spark 1.0,2010,130000,50000,Petrol,Individual,Manual,First Owner,Chevrolet
2361,Renault KWID RXT,2015,300000,10000,Petrol,Individual,Manual,First Owner,Renault
2362,Hyundai i20 Sportz,2013,400000,43000,Petrol,Individual,Manual,Second Owner,Hyundai
2363,Hyundai Verna 1.4,2013,550000,50000,Diesel,Individual,Manual,First Owner,Hyundai
2364,Maruti Wagon R,2006,120000,90000,Petrol,Individual,Manual,Second Owner,Maruti
2365,Mahindra Xylo D4,2012,409999,100000,Diesel,Individual,Manual,Second Owner,Mahindra
2366,Hyundai Santro Xing,2010,110000,80000,Petrol,Individual,Manual,Second Owner,Hyundai
2367,Mahindra Bolero 2011-2019,2012,450000,120000,Diesel,Individual,Manual,First Owner,Mahindra
2368,Maruti Swift VXI,2019,610000,5000,Petrol,Individual,Manual,First Owner,Maruti
2369,Ford Ecosport 1.5,2016,515000,68609,Diesel,Dealer,Manual,First Owner,Ford
2370,Ford EcoSport 1.5,2018,925000,33360,Diesel,Dealer,Manual,First Owner,Ford
2371,Nissan Kicks XL,2019,860000,14317,Petrol,Dealer,Manual,First Owner,Nissan
2372,Ford Figo Diesel,2012,225000,87237,Diesel,Dealer,Manual,Second Owner,Ford
2373,Ford Figo 1.5D,2017,500000,62960,Diesel,Dealer,Manual,First Owner,Ford
2374,Maruti Swift Dzire,2017,600000,26634,Petrol,Dealer,Automatic,First Owner,Maruti
2375,Ford Figo Diesel,2012,195000,163720,Diesel,Dealer,Manual,First Owner,Ford
2376,Maruti Wagon R,2012,265000,67998,Petrol,Dealer,Manual,First Owner,Maruti
2377,Ford Freestyle Trend,2018,650000,20706,Diesel,Dealer,Manual,First Owner,Ford
2378,Ford Figo Aspire,2015,415000,100581,Diesel,Dealer,Manual,First Owner,Ford
2379,Renault Duster 85PS,2015,600000,67303,Diesel,Dealer,Manual,First Owner,Renault
2380,Maruti Ritz VXi,2013,340000,79139,Petrol,Dealer,Manual,First Owner,Maruti
2381,Hyundai Grand i10,2014,350000,84784,Diesel,Dealer,Manual,First Owner,Hyundai
2382,Maruti Ritz LDi,2012,265000,130376,Diesel,Dealer,Manual,Second Owner,Maruti
2383,Tata Safari DICOR,2017,625000,72000,Diesel,Individual,Manual,First Owner,Tata
2384,Hyundai Verna CRDi,2008,245000,127000,Diesel,Individual,Manual,Second Owner,Hyundai
2385,Maruti Swift VDI,2014,395000,120000,Diesel,Individual,Manual,First Owner,Maruti
2386,Fiat Punto 1.3,2010,190000,120000,Diesel,Individual,Manual,Second Owner,Fiat
2387,Hyundai Xcent 1.1,2014,490000,100000,Diesel,Individual,Manual,First Owner,Hyundai
2388,Toyota Etios GD,2012,450000,148000,Diesel,Individual,Manual,Second Owner,Toyota
2389,Maruti Ertiga SHVS,2018,955000,40000,Diesel,Individual,Manual,First Owner,Maruti
2390,Maruti Swift Dzire,2013,525000,110000,Diesel,Individual,Manual,First Owner,Maruti
2391,Tata Tigor 1.2,2017,550000,30000,Petrol,Individual,Manual,First Owner,Tata
2392,Tata Indica Vista,2014,200000,120000,Diesel,Individual,Manual,Second Owner,Tata
2393,Ford Figo Aspire,2017,500000,15000,Petrol,Individual,Manual,First Owner,Ford
2394,Maruti SX4 S,2016,825000,33500,Diesel,Individual,Manual,First Owner,Maruti
2395,Mahindra Quanto C6,2012,250000,70000,Diesel,Individual,Manual,First Owner,Mahindra
2396,Toyota Etios Cross,2015,600000,10000,Petrol,Individual,Manual,First Owner,Toyota
2397,Mahindra Scorpio S7,2018,1325000,22053,Diesel,Individual,Manual,First Owner,Mahindra
2398,Mahindra TUV 300,2016,770000,50000,Diesel,Individual,Manual,First Owner,Mahindra
2399,Chevrolet Optra Magnum,2011,415000,78432,Diesel,Individual,Manual,First Owner,Chevrolet
2400,Hyundai Santa Fe,2011,825000,125000,Diesel,Individual,Manual,Second Owner,Hyundai
2401,Ford Aspire Trend,2018,530000,80000,Diesel,Individual,Manual,First Owner,Ford
2402,Toyota Innova 2.5,2006,425000,270000,Diesel,Individual,Manual,Third Owner,Toyota
